nom,description,prix,categorie,en_vedette,image_url
Costume Trois-Pièces Milano,"Costume taillé sur mesure en laine vierge italienne. Coupe slim, finitions main, doublure en soie.",1290.00,Costumes,true,
Chemise Blanche Oxford,"Chemise classique en coton égyptien double retors. Col français, poignets mousquetaire.",189.00,Chemises,false,
Veste en Cachemire Camel,"Veste élégante en pur cachemire, coupe droite intemporelle. Boutons en corne véritable.",890.00,Vestes,true,
Mocassins Cuir Bordeaux,"Mocassins penny loafer en cuir pleine fleur, semelle cousue Goodyear. Fabriqués en Italie.",450.00,Chaussures,false,
Trench-Coat Beige Iconic,"Trench classique imperméabilisé, ceinture à boucle métallique, coupe ajustée.",1450.00,Manteaux,true,
Polo Piqué Marine,"Polo en piqué de coton mercerisé, broderie discrète. Confort et élégance décontractée.",145.00,Polos,false,
Cravate Soie Bordeaux,"Cravate en soie tissée, motif géométrique discret. Largeur 7cm.",95.00,Accessoires,false,
Ceinture Cuir Noir,"Ceinture en cuir de veau noir, boucle en acier brossé. Largeur 3,5cm.",165.00,Accessoires,false,
Pantalon Flanelle Gris,"Pantalon en flanelle de laine, coupe droite. Pinces avant et revers à l'italienne.",290.00,Pantalons,false,
Pull Col Roulé Cachemire,"Pull col roulé en cachemire 12 fils, maille fine. Coloris anthracite intemporel.",385.00,Pulls,true,
Mocassins Daim Marine,"Mocassins Belgian en daim bleu marine, finition artisanale. Semelle cuir.",520.00,Chaussures,false,
Blazer Croisé Bleu Nuit,"Blazer croisé six boutons, laine Super 130's. Coupe contemporaine et structurée.",1190.00,Vestes,false,
Chemise Lin Blanc,"Chemise estivale en lin pur, coupe ample décontractée. Idéale pour les beaux jours.",175.00,Chemises,false,
Smoking Noir Classic,"Smoking en laine et mohair, revers en satin de soie. Pour les grandes occasions.",1890.00,Costumes,true,
Pochette Soie Pois,"Pochette de costume en soie, motif pois blancs sur fond marine.",65.00,Accessoires,false,
Manteau Caban Marine,"Caban traditionnel en drap de laine épais, double boutonnage. Coupe marine revisitée.",750.00,Manteaux,false,
Boutons de Manchette Argent,"Boutons de manchette en argent massif 925, gravure personnalisable.",240.00,Accessoires,false,
Jean Brut Selvedge,"Jean en denim japonais selvedge 14oz, coupe slim straight. Brut, à patiner.",220.00,Pantalons,false,
Bottines Chelsea Cuir Noir,"Bottines Chelsea en cuir lisse, élastiques latéraux. Élégance britannique.",495.00,Chaussures,true,
Écharpe Cachemire Gris,"Écharpe XL en pur cachemire écossais, frangée main. Toucher exceptionnel.",295.00,Accessoires,false,
